run,job_id,submitted_utc,finished_utc,backend,shots,P00,P01,P10,P11,bell_fidelity
31,d8c4uhqjki0s73aqngdg,2026-05-28T14:20:54.755899+00:00,2026-05-28T14:21:02.526459+00:00,ibm_kingston,2048,0.50439453125,0.005859375,0.00634765625,0.4833984375,0.98779296875
32,d8c4ukajki0s73aqngjg,2026-05-28T14:21:04.541254+00:00,2026-05-28T14:21:11.097179+00:00,ibm_kingston,2048,0.49609375,0.00390625,0.00927734375,0.49072265625,0.98681640625
33,d8c4umj8ch0s738ub02g,2026-05-28T14:21:13.101790+00:00,2026-05-28T14:21:19.567807+00:00,ibm_kingston,2048,0.5,0.0048828125,0.00927734375,0.48583984375,0.98583984375
34,d8c4uoj8ch0s738ub060,2026-05-28T14:21:21.573025+00:00,2026-05-28T14:21:28.030155+00:00,ibm_kingston,2048,0.5078125,0.00390625,0.00732421875,0.48095703125,0.98876953125
35,d8c4uqs7avuc73dqet9g,2026-05-28T14:21:30.035902+00:00,2026-05-28T14:22:46.336454+00:00,ibm_kingston,2048,0.517578125,0.00390625,0.00439453125,0.47412109375,0.99169921875
36,d8c4veb8ch0s738ub13g,2026-05-28T14:22:48.341409+00:00,2026-05-28T14:25:42.412559+00:00,ibm_kingston,2048,0.50341796875,0.005859375,0.00830078125,0.482421875,0.98583984375
37,d8c50qajki0s73aqnjag,2026-05-28T14:25:44.417337+00:00,2026-05-28T14:25:51.744550+00:00,ibm_kingston,2048,0.4970703125,0.005859375,0.00732421875,0.48974609375,0.98681640625
38,d8c50sk7avuc73dqevpg,2026-05-28T14:25:53.749372+00:00,2026-05-28T14:26:01.040073+00:00,ibm_kingston,2048,0.51953125,0.00390625,0.00537109375,0.47119140625,0.99072265625
39,d8c50v47avuc73dqevsg,2026-05-28T14:26:03.044806+00:00,2026-05-28T14:26:09.545598+00:00,ibm_kingston,2048,0.5,0.00634765625,0.00537109375,0.48828125,0.98828125
40,d8c51138amns73bj0j5g,2026-05-28T14:26:11.550959+00:00,2026-05-28T14:26:18.878473+00:00,ibm_kingston,2048,0.4765625,0.00341796875,0.00537109375,0.5146484375,0.9912109375
41,d8c513b8ch0s738ub32g,2026-05-28T14:26:20.883415+00:00,2026-05-28T14:26:27.404312+00:00,ibm_kingston,2048,0.51416015625,0.00439453125,0.00634765625,0.47509765625,0.9892578125
42,d8c515k7avuc73dqf05g,2026-05-28T14:26:29.417350+00:00,2026-05-28T14:26:36.021701+00:00,ibm_kingston,2048,0.50830078125,0.00439453125,0.005859375,0.4814453125,0.98974609375
43,d8c517r8amns73bj0jeg,2026-05-28T14:26:38.027990+00:00,2026-05-28T14:26:47.916297+00:00,ibm_kingston,2048,0.51220703125,0.00634765625,0.0078125,0.4736328125,0.98583984375
44,d8c51aijki0s73aqnk10,2026-05-28T14:26:49.921329+00:00,2026-05-28T14:26:57.036310+00:00,ibm_kingston,2048,0.509765625,0.0048828125,0.0078125,0.4775390625,0.9873046875
45,d8c51d2jki0s73aqnk5g,2026-05-28T14:26:59.041460+00:00,2026-05-28T14:27:06.875631+00:00,ibm_kingston,2048,0.52001953125,0.00537109375,0.0048828125,0.4697265625,0.98974609375
46,d8c51fk7avuc73dqf0k0,2026-05-28T14:27:08.880657+00:00,2026-05-28T14:27:15.485642+00:00,ibm_kingston,2048,0.51416015625,0.00341796875,0.00634765625,0.47607421875,0.990234375
47,d8c51hijki0s73aqnkb0,2026-05-28T14:27:17.490169+00:00,2026-05-28T14:27:24.061282+00:00,ibm_kingston,2048,0.50341796875,0.00341796875,0.0068359375,0.486328125,0.98974609375
48,d8c51jr8amns73bj0jvg,2026-05-28T14:27:26.069353+00:00,2026-05-28T14:27:32.776019+00:00,ibm_kingston,2048,0.52734375,0.0029296875,0.00634765625,0.46337890625,0.99072265625
49,d8c51lqjki0s73aqnkg0,2026-05-28T14:27:34.780860+00:00,2026-05-28T14:27:41.236786+00:00,ibm_kingston,2048,0.5146484375,0.00390625,0.00732421875,0.47412109375,0.98876953125
50,d8c51o38ch0s738ub3tg,2026-05-28T14:27:43.240981+00:00,2026-05-28T14:27:49.859019+00:00,ibm_kingston,2048,0.5107421875,0.00537109375,0.005859375,0.47802734375,0.98876953125
