backend,ensemble,seed_index,n_points,graph_edges,graph_components,graph_beta1,graph_mean_degree,graph_shell_mean,graph_edge_weight_mean,graph_edge_weight_q90,h1_count,h1_total_persistence,h1_max_persistence,h1_mean_persistence,h1_q90_persistence,h1_entropy,h1_birth_mean,h1_death_mean,curve_00,curve_01,curve_02,curve_03,curve_04,curve_05,curve_06,curve_07,curve_08,curve_09,curve_10,curve_11,curve_12,curve_13,curve_14,curve_15,curve_16,curve_17,curve_18,curve_19,curve_20,curve_21,curve_22,curve_23,curve_24,curve_25,curve_26,curve_27,curve_28,curve_29,curve_30,curve_31
gudhi_flag,phi,0,420,1183,1,764,5.633333333333334,2.536770921386306,0.6002094788165425,0.8064015460532035,484,175.15766938287163,0.6032683170706078,0.3618960111216356,0.6032683170706076,6.030434603302855,0.6239893980386291,0.9858854091602646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7884281528966604,4.410805402087889,7.033182651279087,9.655559900470314,13.15014483210559,18.093585545404185,24.00854254399492,29.22660847409112,38.5471155637145,48.65496273637658,58.45983592375425,62.690756767858225,65.92089470336893,66.11236961538603,63.84781529589934
gudhi_flag,phi,1,420,1166,1,747,5.552380952380952,2.5334476843910805,0.6009232645953556,0.8151474470463074,490,173.73358951799352,0.5925597897622861,0.35455834595508884,0.5925597897622858,6.043552924344671,0.625945662148475,0.9805040081035641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5315582000828565,4.289342988318508,7.047127776554144,9.804912564789799,13.030258732975902,17.701602167417004,23.802156395938454,28.713015179270023,37.601194238857886,48.049722619711574,58.031090316369244,61.92679079594704,65.28862603408679,65.15577219937767,62.97136927480179
gudhi_flag,phi,2,420,1176,1,757,5.6,2.5433673469387754,0.5990658266248489,0.8028059875860523,488,172.8741728678076,0.5992916515099784,0.35425035423731066,0.599291651509978,6.029610396799303,0.6267915744005494,0.9810419286378602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.650546398256231,4.26313500010626,6.87572360195629,9.488312203806307,12.92195461568,17.72886409314567,23.568328952885707,28.549242271830472,37.48496917966563,46.977102482482856,56.02524257245391,60.599913635969564,64.20740521312709,64.81813964837983,63.029793979699186
gudhi_flag,phi,3,420,1178,1,759,5.609523809523809,2.536502546689304,0.6041592806755882,0.8105126381480144,492,170.4695050102718,0.5872916177998138,0.34648273376071503,0.5872916177998134,6.038427276085972,0.6302990748548513,0.9767818086155662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7955194709004223,4.487934926609956,7.180350382319483,9.872765838029059,13.48824289071177,18.57361187569832,24.610525720179325,29.813369876782453,39.013826404771855,48.90675113525565,57.381822304624166,61.01404952943876,63.97684448474129,63.37977806759939,59.069603619904676
gudhi_flag,phi,4,420,1185,1,766,5.642857142857143,2.537552742616034,0.6040545780540377,0.8045645248308293,485,166.05948702331898,0.5816718876471197,0.3423906948934412,0.5816718876471194,6.0306791832421895,0.6283786657645224,0.9707693606579635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541846170012495,4.04935615093981,6.556866131867134,9.064376112794472,12.4125001229349,17.113501040949682,22.817126189259334,27.781589301109673,36.92720437940074,46.837905987675235,55.57574188228243,59.39320459897217,62.39357477612512,61.96971965211478,57.71407295180601
gudhi_flag,phi,5,420,1152,1,733,5.485714285714286,2.5520833333333335,0.6000853017181468,0.8114884545715848,484,171.95123904915377,0.5901814652440833,0.35527115506023504,0.5901814652440829,6.037387391626098,0.6291702895123267,0.984441444572562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9847973803828303,4.6210168971299055,7.257236413876975,9.893455930624034,13.350251862917139,18.156468538637057,23.74100000509805,29.41937804485194,39.00277708464314,49.21765420600413,57.937697620451225,61.981222510894554,65.32707770244589,65.14553348235069,60.60967468423668
gudhi_flag,phi,6,420,1194,1,775,5.685714285714286,2.530150753768844,0.6014331686442267,0.8011733988526054,487,163.08313900925987,0.5790470601259492,0.33487297537835703,0.579047060125949,6.02275373180237,0.6254826908067698,0.9603556661851268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5688838556497087,4.149315866787994,6.729747877926259,9.310179889064568,12.700126974415744,17.4355225151159,23.220204129411066,27.950224358424453,36.86299856064193,46.50398299535421,54.82359766788868,58.204948984524314,60.77488815150296,59.93923782882838,55.65348819891454
gudhi_flag,phi,7,420,1159,1,740,5.519047619047619,2.543572044866264,0.5975558249640783,0.768610971525178,485,168.2717643486137,0.5894076163944818,0.3469520914404406,0.5894076163944815,6.028361558931662,0.6259649716014173,0.972917063041858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0275066409691,4.6575537088496555,7.287600776730227,9.917647844610787,13.36303778897665,18.266188207366195,24.040017398846967,29.209323102654437,38.42792828638175,48.211987477224184,56.364551153232824,60.10956203485754,63.25842502108383,62.8396430102304,58.36181231983782
gudhi_flag,phi,8,420,1179,1,760,5.614285714285714,2.547921967769296,0.6001431698786797,0.7988677470179436,492,171.42728820295687,0.596470530202736,0.3484294475669855,0.5964705302027358,6.035481446950292,0.6303611482785338,0.9787905958455193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2991137322750608,4.723672252809191,7.148230773343336,9.572789293877438,13.430981118369624,18.842044319635274,23.53581893647317,30.55890188248939,40.426291210244564,49.96820658961078,57.20824971584783,61.910505749964166,64.74726798686761,65.06316293167578,59.121933661840636
gudhi_flag,phi,9,420,1169,1,750,5.566666666666666,2.5380667236954664,0.6042951744853307,0.8109481550657037,478,167.8191093319108,0.587890261327163,0.35108600278642427,0.5878902613271627,6.0200330130776605,0.6272876278966536,0.9783736306830779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8072137689568994,4.472583888270676,7.137954007584453,9.803324126898218,13.289070536007094,18.135731528079653,23.89828338764693,29.122144573764388,38.50711672587753,48.59968609891757,57.23685326362921,60.44739804436239,63.13796248376532,62.558787275757666,58.1074988463131
